 ,Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
1,ID227340,227340,31,73.365,582.603,321.264,0,0,0,8.500,1,-10921639,25001.148,25022,22441,30583,14225653,2136.792,11.564,0.045,1.007
2,ID227345,227345,41,78.845,118.636,322.416,0,0,0,8.500,1,-10921639,24597.613,24625,21646,29590,13996042,1806.489,12.120,0.057,1.476
3,ID227349,227349,6,81.102,564.567,327.039,0,0,0,8.500,1,-10921639,24996.622,24427,22242,30583,14223078,2532.065,11.120,0.048,0.906
4,ID227348,227348,33,640.440,12.115,324.764,0,0,0,8.500,1,-10921639,54573.757,65535,22043,65535,31052468,16704.175,11.943,0.374,1.780
5,ID227355,227355,2,680.733,33.936,332.457,0,0,0,8.500,1,-10921639,59094.606,65535,21845,65535,33624831,13421.850,12.249,0.400,2.517
6,ID227368,227368,10,677.507,74.661,338.558,0,0,0,8.500,1,-10921639,64714.815,65535,29987,65535,36822730,4508.037,17.446,0.389,8.042
7,ID227395,227395,23,651.239,600.519,357.862,0,0,0,8.500,1,-10921639,64999.622,65535,36144,65535,36984785,3131.313,17.153,0.376,11.334
8,ID227393,227393,25,635.609,626.150,357.126,0,0,0,8.500,1,-10921639,60425.051,65535,23036,65535,34381854,11962.086,16.608,0.351,2.624
9,ID227405,227405,35,682.911,106.792,366.528,0,0,0,8.500,1,-10921639,65005.893,65535,29590,65535,36988353,3544.516,17.376,0.405,10.571
10,ID227409,227409,34,162.134,0.000,368.295,0,0,0,8.500,1,-10921639,19581.749,23463,0,35945,11142015,12235.752,11.758,0.248,0.637
11,ID227417,227417,3,223.378,29.813,373.703,0,0,0,8.500,1,-10921639,30129.218,31179,19462,38527,17143525,4892.526,12.112,0.190,1.964
12,ID227433,227433,11,709.564,125.459,385.924,0,0,0,8.500,1,-10921639,64552.181,65535,32569,65535,36730191,4563.513,16.918,0.435,8.571
13,ID227475,227475,43,628.138,246.265,412.216,0,0,0,8.500,1,-10921639,65187.037,65535,40513,65535,37091424,2449.914,17.252,0.357,14.011
14,ID227515,227515,20,200.582,179.135,436.736,0,0,0,8.500,1,-10921639,28653.559,29391,20653,38130,16303875,5290.804,11.585,0.155,1.453
15,ID227516,227516,22,616.351,252.231,436.611,0,0,0,8.500,1,-10921639,64039.114,65535,25022,65535,36438256,6487.168,17.159,0.345,5.066
16,ID226851,226851,17,709.173,161.250,0.000,0,0,0,8.500,1,-10921639,44787.594,64741,0,65535,25484141,27414.425,16.710,0.508,1.101
17,ID226856,226856,27,467.151,414.090,0.000,0,0,0,8.500,1,-10921639,30952.824,26015,0,65535,17612157,23860.216,7.154,0.374,0.707
18,ID226883,226883,39,77.910,708.855,14.190,0,0,0,8.500,1,-10921639,17655.960,22441,0,65535,10046241,11499.279,6.838,0.166,0.437
19,ID226882,226882,36,609.646,440.281,14.570,0,0,0,8.500,1,-10921639,65468.691,65535,43889,65535,37251685,1008.069,17.714,0.338,32.829
20,ID226881,226881,32,509.245,124.056,11.321,0,0,0,8.500,1,-10921639,48867.026,57195,22242,65535,27805338,17467.978,32.300,0.268,1.184
21,ID226884,226884,38,476.880,109.220,17.682,0,0,0,8.500,1,-10921639,45568.425,47463,21845,65535,25928434,18903.574,11.380,0.236,0.920
22,ID226902,226902,12,714.387,160.347,28.907,0,0,0,8.500,1,-10921639,62863.705,65535,22441,65535,35769448,7426.355,16.644,0.428,5.072
23,ID227013,227013,28,695.881,231.779,93.733,0,0,0,8.500,1,-10921639,64443.991,65535,26015,65535,36668631,5233.061,17.192,0.410,7.166
24,ID227023,227023,40,654.505,329.201,102.924,0,0,0,8.500,1,-10921639,63776.318,65535,28597,65535,36288725,6589.547,16.895,0.371,5.241
25,ID227038,227038,13,666.781,263.683,109.508,0,0,0,8.500,1,-10921639,65437.626,65535,47066,65535,37234009,1186.044,17.568,0.383,30.574
26,ID227047,227047,9,630.967,299.460,117.896,0,0,0,8.500,1,-10921639,62773.244,65535,25618,65535,35717976,8462.479,16.920,0.347,3.824
27,ID227045,227045,7,667.580,615.358,117.345,0,0,0,8.500,1,-10921639,60990.824,65535,24029,65535,34703779,10690.557,15.877,0.386,3.177
28,ID227060,227060,16,617.518,519.957,127.973,0,0,0,8.500,1,-10921639,62223.540,65535,24228,65535,35405194,9536.047,16.783,0.344,3.338
29,ID227075,227075,30,622.111,619.077,140.941,0,0,0,8.500,1,-10921639,61410.002,65535,25420,65535,34942291,10105.783,15.674,0.352,3.165
30,ID227074,227074,37,629.514,539.448,141.534,0,0,0,8.500,1,-10921639,63459.757,65535,27405,65535,36108602,7370.960,16.592,0.358,4.540
31,ID227087,227087,44,441.761,590.986,150.480,0,0,0,8.500,1,-10921639,47000.288,50840,23235,65535,26743164,12797.969,11.749,0.219,1.318
32,ID227100,227100,4,469.067,606.099,158.246,0,0,0,8.500,1,-10921639,50575.288,54216,23235,65535,28777339,12536.626,11.974,0.231,1.514
33,ID227128,227128,21,679.184,158.460,179.497,0,0,0,8.500,1,-10921639,61243.494,65535,23434,65535,34847548,10514.083,15.836,0.400,3.329
34,ID227147,227147,42,319.449,231.447,190.190,0,0,0,8.500,1,-10921639,37510.332,40115,22838,50641,21343379,8190.152,11.918,0.218,1.639
35,ID227153,227153,45,661.910,179.863,194.215,0,0,0,8.500,1,-10921639,63792.019,65535,24228,65535,36297659,6729.390,17.069,0.382,5.243
