plant t id age layer
1 0 38 NA L3+
1 0 89 NA L3+
1 0 109 NA L3+
1 0 165 NA L3+
1 0 175 NA L3+
1 0 6 NA L1
1 0 23 NA L3+
1 0 186 NA L1
1 0 39 NA L2
1 0 189 NA L2
1 0 182 NA L2
1 0 212 NA L3+
1 0 166 NA L3+
1 0 215 NA L3+
1 0 235 NA L3+
1 0 222 NA L2
1 0 288 NA L2
1 0 239 NA L3+
1 0 210 NA L3+
1 0 207 NA L2
1 0 184 NA L2
1 0 298 NA L2
1 0 287 NA L1
1 0 286 NA L2
1 0 208 NA L3+
1 0 282 NA L1
1 0 317 NA L1
1 0 348 NA L2
1 0 300 NA L2
1 0 356 NA L3+
1 0 339 NA L1
1 0 334 NA L2
1 0 341 NA L3+
1 0 357 NA L2
1 0 303 NA L2
1 0 328 NA L3+
1 0 401 NA L1
1 0 373 NA L2
1 0 407 NA L2
1 0 358 NA L1
1 0 387 NA L2
1 0 403 NA L3+
1 0 428 NA L2
1 0 465 NA L1
1 0 420 NA L2
1 0 425 NA L1
1 0 395 NA L2
1 0 426 NA L1
1 0 480 NA L1
1 0 495 NA L1
1 0 483 NA L2
1 0 516 NA L1
1 0 520 NA L2
1 0 513 NA L2
1 0 502 NA L1
1 0 519 NA L1
1 0 570 NA L1
1 4 126 4 L3+
1 4 117 4 L3+
1 4 5 4 L1
1 4 120 4 L3+
1 4 210 4 L3+
1 4 158 4 L1
1 4 101 4 L3+
1 4 137 4 L2
1 4 204 4 L2
1 4 220 4 L3+
1 4 50 4 L3+
1 4 239 4 L3+
1 4 246 4 L1
1 4 75 4 L2
1 4 184 4 L3+
1 4 175 4 L3+
1 4 178 4 L3+
1 4 88 4 L3+
1 4 38 4 L3+
1 4 237 4 L3+
1 4 205 4 L1
1 4 223 4 L2
1 4 233 4 L1
1 4 286 4 L2
1 4 245 4 L3+
1 4 249 4 L3+
1 4 291 4 L3+
1 4 363 4 L1
1 4 207 4 L3+
1 4 285 4 L2
1 4 300 4 L3+
1 4 272 4 L3+
1 4 288 4 L3+
1 4 298 4 L1
1 4 313 4 L3+
1 4 303 4 L2
1 4 351 4 L3+
1 4 355 4 L2
1 4 354 4 L2
1 4 348 4 L3+
1 4 379 4 L3+
1 4 425 4 L2
1 4 369 4 L3+
1 4 418 4 L2
1 4 448 4 L1
1 4 441 4 L3+
1 4 364 4 L1
1 4 397 4 L2
1 4 430 4 L1
1 4 495 4 L1
1 4 474 4 L1
1 4 486 4 L3+
1 4 507 4 L1
1 4 378 4 L1
1 4 459 4 L1
1 4 446 4 L1
1 4 482 4 L2
1 4 512 4 L2
1 4 503 4 L1
1 4 514 4 L1
1 4 494 4 L2
1 4 522 4 L2
1 4 505 4 L2
1 4 533 4 L1
1 4 523 4 L1
1 4 526 4 L2
1 4 499 4 L1
1 4 527 4 L1
1 4 541 4 L1
1 4 547 4 L1
1 4 564 4 L1
1 4 554 4 L1
1 4 529 4 L1
1 4 561 4 L1
1 4 599 4 L1
1 4 581 4 L2
1 4 565 4 L1
1 4 588 4 L2
1 4 572 0 L1
1 4 611 4 L1
1 4 612 4 L1
1 4 604 4 L1
1 4 638 4 L1
1 4 627 4 L1
1 4 645 4 L1
1 4 641 4 L1
1 4 659 4 L1
1 4 646 4 L1
1 8 407 8 L2
1 8 380 8 L1
1 8 363 8 L2
1 8 405 8 L2
1 8 371 8 L1
1 8 446 8 L3+
1 8 420 8 L2
1 8 457 8 L3+
1 8 443 8 L2
1 8 411 8 L3+
1 8 497 8 L2
1 8 447 8 L3+
1 8 479 4 L3+
1 8 556 8 L2
1 8 530 8 L3+
1 8 567 8 L1
1 8 516 8 L3+
1 8 518 8 L2
1 8 521 8 L3+
1 8 559 8 L1
1 8 480 4 L2
1 8 472 8 L2
1 8 466 8 L3+
1 8 598 8 L2
1 8 591 8 L2
1 8 573 8 L2
1 8 508 8 L1
1 8 539 8 L2
1 8 534 8 L3+
1 8 640 8 L2
1 8 655 8 L1
1 8 615 8 L2
1 8 650 8 L2
1 8 619 4 L2
1 8 624 8 L3+
1 8 681 8 L2
1 8 672 8 L3+
1 8 679 8 L2
1 8 695 8 L3+
1 8 659 8 L1
1 8 744 8 L1
1 8 762 8 L1
1 8 761 8 L1
1 8 777 8 L1
1 8 770 8 L2
1 8 775 8 L2
1 8 789 8 L1
1 8 816 8 L1
1 8 802 8 L2
1 8 810 8 L1
1 8 806 8 L1
1 8 832 8 L1
1 8 848 8 L1
1 8 822 8 L1
1 8 842 8 L1
1 8 845 8 L1
1 8 857 8 L1
1 8 870 8 L1
1 8 867 8 L1
1 8 874 8 L1
1 8 868 8 L1
1 8 865 8 L1
1 8 885 8 L1
1 8 900 8 L1
1 12 59 12 L3+
1 12 181 12 L3+
1 12 190 12 L2
1 12 83 8 L3+
1 12 92 12 L3+
1 12 194 12 L2
1 12 132 12 L3+
1 12 221 12 L2
1 12 208 8 L3+
1 12 26 12 L3+
1 12 216 12 L1
1 12 277 12 L1
1 12 178 8 L3+
1 12 192 4 L3+
1 12 311 12 L1
1 12 271 8 L2
1 12 217 4 L2
1 12 230 12 L3+
1 12 270 8 L3+
1 12 266 8 L2
1 12 258 8 L3+
1 12 283 12 L3+
1 12 265 12 L2
1 12 282 12 L1
1 12 332 12 L2
1 12 286 12 L2
1 12 300 12 L1
1 12 315 8 L3+
1 12 320 8 L2
1 12 333 12 L3+
1 12 353 12 L1
1 12 373 12 L2
1 12 356 12 L3+
1 12 342 12 L1
1 12 354 8 L2
1 12 337 12 L2
1 12 362 12 L2
1 12 380 12 L2
1 12 348 8 L3+
1 12 370 12 L3+
1 12 424 12 L1
1 12 433 12 L1
1 12 377 12 L3+
1 12 390 8 L2
1 12 395 12 L2
1 12 364 12 L2
1 12 431 12 L3+
1 12 387 8 L1
1 12 461 12 L1
1 12 436 12 L2
1 12 452 12 L2
1 12 471 12 L1
1 12 485 12 L2
1 12 467 12 L2
1 12 494 12 L1
1 12 501 12 L1
1 12 498 12 L1
1 12 500 8 L2
1 12 496 8 L1
1 12 538 12 L1
1 12 554 12 L1
1 12 563 12 L1
1 12 568 12 L1
1 12 602 12 L1
1 12 616 12 L1
1 16 82 12 L2
1 16 44 8 L3+
1 16 136 12 L3+
1 16 139 16 L3+
1 16 194 16 L2
1 16 34 8 L3+
1 16 87 16 L2
1 16 106 12 L3+
1 16 192 16 L1
1 16 95 12 L3+
1 16 104 16 L3+
1 16 37 8 L3+
1 16 128 12 L3+
1 16 248 4 L2
1 16 207 12 L3+
1 16 183 8 L3+
1 16 209 4 L3+
1 16 160 8 L2
1 16 245 16 L2
1 16 217 8 L1
1 16 252 16 L2
1 16 79 16 L3+
1 16 145 8 L3+
1 16 170 16 L2
1 16 179 8 L1
1 16 275 12 L2
1 16 256 12 L2
1 16 219 12 L2
1 16 257 16 L1
1 16 264 16 L1
1 16 272 12 L2
1 16 238 12 L3+
1 16 324 16 L2
1 16 217 8 L1
1 16 335 8 L2
1 16 216 12 L2
1 16 307 12 L2
1 16 247 8 L2
1 16 368 16 L2
1 16 297 12 L2
1 16 237 8 L2
1 16 299 8 L3+
1 16 387 16 L2
1 16 374 12 L1
1 16 274 16 L2
1 16 352 16 L2
1 16 391 16 L2
1 16 341 12 L2
1 16 373 12 L2
1 16 353 12 L3+
1 16 185 4 L3+
1 16 363 16 L2
1 16 412 16 L3+
1 16 414 8 L1
1 16 440 8 L2
1 16 367 12 L1
1 16 430 16 L1
1 16 397 12 L2
1 16 438 8 L2
1 16 452 8 L2
1 16 470 12 L2
1 16 483 8 L1
1 16 399 8 L1
1 16 456 12 L2
1 16 508 16 L1
1 16 492 16 L1
1 16 517 16 L1
1 16 499 8 L1
1 16 494 16 L1
1 16 469 16 L1
1 16 545 16 L2
1 16 537 16 L1
1 16 564 16 L1
1 16 530 8 L1
1 16 574 16 L1
1 16 560 8 L1
1 16 575 16 L1
1 16 584 16 L1
1 16 585 16 L1
1 16 605 16 L1
1 16 592 8 L1
1 16 616 16 L1
1 16 620 16 L1
1 16 593 16 L1
1 16 624 16 L1
