plant	t	id	layer	m.vol	n.vol	m.x	m.y	m.z	expr	d2t	circ	age
2	0	646	L3+	207.21068685	0.50459933	55.567495802	66.730104758	23.8354220547	28.279099	2.19947137071597	2	0
2	0	650	L3+	208.133083992	0.285179	58.1576400611	70.9808080966	22.5199338303	10.716486	2.43578161421595	2	0
2	0	678	L2	284.639035502	0.251119383	58.227917659	58.1540080298	24.3483607234	11.550008	2.74380429902958	2	0
2	0	692	L3+	254.327156987	0.31957583	61.1895879394	66.8116702493	23.8038408409	14.122177	1.91620496604464	2	0
2	0	695	L3+	235.433918962	0.15028945	61.8377838156	58.7650661988	23.467645799	8.370928	2.82824473815898	2	0
2	0	749	L1	153.987311492	0.08767821	38.1309558379	58.9469397866	25.5167866744	8.319215	5.67543033358871	4	0
2	0	754	L2	135.125880265	0.23987858	54.6626959447	54.7968953852	26.7123537751	16.421587	2.98721468403919	2	0
2	0	757	L2	225.690436501	0.04844783	49.2617912642	63.5952640706	26.4254211651	6.5057898	3.21215454359329	2	0
2	0	772	L2	111.143554556	0.19682634	53.0672138167	72.7785476114	27.3984381098	26.531492	2.62321397852107	2	0
2	0	787	L2	217.908373251	0.31148246	59.198883416	73.4733644127	28.1271562877	18.637144	2.35950467241596	2	0
2	0	794	L2	151.135301936	0.36532587	54.3055333971	61.535165912	28.1397914607	33.241074	1.91546179574179	1	0
2	0	795	L2	152.545403315	0.3123817	53.3565715589	68.8409998009	28.5404177961	32.4602	2.18851804046388	1	0
2	0	796	L1	74.2052597862	0.069917746	41.2571565116	56.6818372053	26.7219038596	15.377781	5.33526346014653	4	0
2	0	798	L1	116.699141944	0.09363583	45.1157362292	82.3900296775	27.9056677259	13.388909	5.30336653378421	4	0
2	0	804	L1	134.086858196	0.16254191	49.6557231921	50.0160266992	28.6247726734	28.07237	4.73193569766766	4	0
2	0	805	L1	186.652893061	0.27011633	45.2630897566	54.341442672	28.5731019726	29.785158	4.57716978384446	3	0
