Cell id	x	y	z	Boa volume	Mean cell intensity
0	10.03492	11.964712	2.8546064	0.10553318	4.365146
1	10.565613	11.096306	3.0924902	0.15359342	13.1837435
2	10.951571	9.166513	3.9488723	0.09434866	10.757019
3	10.179654	10.565613	4.139179	0.39699525	32.967205
4	12.64014	8.877045	4.234333	0.10509023	18.617414
5	11.048061	9.841941	4.0916023	0.15536523	13.99206
6	10.903327	11.675243	4.4722166	0.15614039	39.198315
7	10.276144	11.964712	4.4722166	0.31228077	52.730934
8	11.723488	10.710347	4.3294864	0.2404119	20.069355
9	7.3814554	11.385775	4.5197935	0.2561367	39.391663
10	11.24104	12.54365	4.42464	0.06876821	10.908213
11	10.613857	13.074343	4.6625237	0.13653979	15.929354
12	11.771733	11.385775	4.6625237	0.23155287	32.168167
13	13.460301	10.469123	4.5197935	0.1488317	9.649501
14	11.33753	14.425198	4.4722166	0.04130522	6.7747984
15	8.491086	9.263003	4.7101007	0.2661031	26.445395
16	12.591895	12.109447	4.7576776	0.3082942	16.241209
17	12.205936	13.65328	4.5673704	0.046952855	8.464623
18	8.105127	15.100625	4.614947	0.032999884	7.8456306
19	7.9121485	12.157692	4.9479847	0.3302203	56.039356
20	9.938431	8.394596	4.900408	0.24052264	26.550814
21	8.298107	10.710347	4.995561	0.28969026	79.112976
22	7.9603934	13.701526	4.852831	0.20364693	19.228195
23	10.372634	16.789192	4.995561	0.23465353	23.37588
24	9.6972065	9.648962	5.1382914	0.39300868	125.1279
25	8.925289	10.276144	5.1382914	0.23985821	80.24501
26	9.745451	15.486584	5.1382914	0.2714185	29.871449
27	9.070024	11.434019	5.233445	0.35314304	110.52937
28	8.925289	12.688384	5.233445	0.38857916	82.268776
29	10.999816	9.407738	5.471329	0.5953268	134.2574
30	9.841941	14.425198	5.471329	0.41128042	70.98428
31	9.6972065	11.096306	5.4237523	0.35491484	115.05455
32	8.925289	14.618176	5.090715	0.0862648	9.087278
33	14.569932	9.021779	5.233445	0.07973126	16.17081
34	10.517368	10.517368	5.5189056	0.328227	113.10724
35	10.565613	11.868223	5.8043666	0.6396219	143.50566
36	14.714666	10.2279	5.3761754	0.11295262	16.182262
37	9.359492	13.460301	5.5664825	0.36632085	101.08275
38	11.33753	15.824297	5.3761754	0.29079762	54.93151
39	11.289285	10.903327	5.709213	0.7110478	151.09639
40	10.903327	15.100625	5.5664825	0.22058982	53.36521
41	13.65328	9.359492	5.471329	0.12856665	17.348751
42	12.881364	10.3243885	5.6140594	0.3371968	66.40028
43	12.205936	9.938431	5.709213	0.22369048	85.56841
44	13.84626	10.469123	5.5664825	0.12624116	22.602509
45	9.890185	12.350671	5.709213	0.31593513	132.19951
46	10.758593	13.990994	5.7567897	0.31604585	88.43289
47	12.254181	14.425198	5.7567897	0.4492635	70.16826
48	12.205936	11.578753	5.89952	0.66420573	133.25215
49	13.508546	11.626999	5.851943	0.43597496	63.81375
50	12.54365	12.881364	5.947097	0.47251847	136.4916
51	10.276144	13.026098	5.947097	0.32102907	137.84221
52	13.460301	14.232219	5.851943	0.27939162	75.20757
53	11.626999	13.219077	6.089827	0.4191428	144.44151
54	14.087484	12.688384	5.947097	0.3553578	60.809967
55	13.122588	13.556791	6.137404	0.19512011	74.25327
