Cell id	x	y	z	Boa volume	Mean cell intensity
0	11.675243	12.929608	3.631038	0.071233764	6.6327524
1	10.3243885	11.33753	3.8615801	0.19344462	25.148184
2	11.868223	10.903327	3.631038	0.11899125	12.076621
3	11.096306	11.096306	3.746309	0.12677196	15.126916
4	11.048061	12.398915	3.8039446	0.09471006	11.257774
5	7.236721	8.684066	3.746309	0.039306015	8.832765
6	12.205936	11.819978	4.034487	0.1185888	7.797487
7	9.504227	6.8990073	4.034487	0.07566073	11.861705
8	9.938431	9.118269	4.207393	0.09014895	14.8303175
9	8.298107	7.8639035	4.034487	0.09149045	13.171535
10	10.565613	8.153373	4.092122	0.07686808	15.471184
11	10.613857	10.276144	4.4955707	0.23999475	24.104374
12	8.201617	8.780555	4.3802996	0.08290484	15.732969
13	7.767414	9.745451	4.4379354	0.16151686	14.908515
14	10.083165	12.784874	4.6684775	0.17734659	18.76382
15	9.359492	7.4779453	4.6108418	0.046550125	14.755042
16	10.276144	11.819978	4.726113	0.26051974	20.204767
17	9.021779	8.491086	4.841384	0.1811028	24.637577
18	11.385775	13.412057	4.956655	0.19129822	25.412134
19	8.73231	9.890185	5.0142903	0.36019334	76.01016
20	11.33753	10.662103	4.8990197	0.16339497	16.009731
21	12.109447	10.2279	4.956655	0.3576445	22.602877
22	7.767414	12.109447	4.7837486	0.0921612	13.886445
23	13.412057	10.372634	5.1295614	0.31189927	15.629505
24	12.012958	12.833118	4.956655	0.11255203	13.843814
25	7.9603934	11.048061	4.956655	0.2150428	18.7266
26	12.205936	11.434019	5.187197	0.5722848	42.968895
27	11.916468	7.1884766	5.187197	0.19371292	24.480404
28	10.276144	8.63582	5.4177394	0.37280345	100.025826
29	11.530509	7.9121485	5.2448325	0.11174713	19.057577
30	9.214758	9.504227	5.4177394	0.26105633	93.656136
31	8.877045	13.460301	5.4177394	0.22228691	37.676785
32	12.977854	7.8639035	5.4177394	0.14018698	29.911736
33	9.214758	11.385775	5.705917	0.5861023	116.12184
34	8.249862	12.109447	5.3601036	0.08156333	22.335453
35	13.84626	8.394596	5.5330105	0.17063908	22.973877
36	11.771733	8.442842	5.821188	0.08075843	25.86706
37	9.986675	10.613857	5.821188	0.52238095	115.81247
38	9.552472	14.425198	5.4753747	0.06975812	10.103825
39	10.469123	9.793696	5.8788233	0.6077005	133.78127
40	8.877045	12.591895	5.590646	0.16943173	49.94817
41	9.938431	13.267323	5.8788233	0.2371776	81.72141
42	10.951571	8.8288	5.821188	0.273264	97.704834
43	12.929608	8.780555	5.936459	0.29124013	48.642155
44	11.868223	9.311248	6.05173	0.56718713	123.22845
45	11.868223	10.276144	6.282272	0.50105107	136.96155
46	10.662103	11.385775	6.167001	0.76599777	140.05249
47	9.890185	12.54365	5.936459	0.22698218	77.51918
48	10.710347	13.701526	5.9940944	0.27339816	72.15104
49	11.578753	11.385775	6.4551787	0.60354185	146.37897
50	10.710347	14.714666	5.821188	0.09484421	9.588367
51	14.376953	9.359492	6.1093655	0.23489703	59.71275
52	11.096306	12.688384	6.2246366	0.5387473	116.911835
53	11.578753	13.508546	6.2246366	0.41895115	77.305885
54	13.122588	10.469123	6.397543	0.4807944	98.734146
55	15.534828	10.613857	6.1093655	0.14260168	26.981016
56	12.929608	11.385775	6.57045	0.48629454	138.49174
57	13.315567	14.762911	6.167001	0.16983418	15.265277
58	11.868223	15.390094	6.05173	0.028842298	9.469771
59	13.798015	9.841941	6.397543	0.22443332	60.548717
60	12.54365	12.447161	6.512814	0.46831843	121.408844
61	14.811156	10.372634	6.4551787	0.13455267	42.65686
62	13.798015	12.447161	6.685721	0.40728006	73.83522
63	14.376953	11.24104	6.397543	0.27447134	27.600904
64	14.135729	13.605036	6.397543	0.17640755	20.213531
65	14.714666	12.398915	6.397543	0.10960073	14.465057
66	13.026098	13.65328	6.57045	0.35992503	65.36855
