Cell id	x	y	z	Boa volume	Mean cell intensity
0	15.293604	13.894505	5.25	0.11856016	5.3214455
1	14.473442	13.942749	5.8125	1.0094342	71.21444
2	12.302426	13.508546	5.9375	0.54290366	55.992863
3	13.219077	13.460301	5.875	0.5932372	67.80411
4	13.990994	14.569932	6.875	0.39757657	40.422096
5	14.087484	13.170833	6.9375	0.44703725	35.710033
6	15.631318	13.701526	7.0	0.3575716	61.04732
7	12.7366295	14.039239	7.375	0.4006315	63.809643
8	14.907645	14.376953	7.4375	0.43365377	48.549232
9	14.762911	12.591895	7.0625	0.118414685	5.835375
10	11.964712	13.170833	7.375	0.33095014	34.46027
11	12.784874	12.977854	7.25	0.31698477	36.05417
12	13.556791	13.74977	7.4375	0.48835146	65.52245
13	15.486584	16.499723	7.5	0.04887879	8.392853
14	15.583073	13.170833	8.0	0.1597289	31.642765
15	15.390094	12.54365	8.3125	0.41561517	40.380203
16	13.267323	15.631318	8.0	0.6652461	38.658028
17	16.16201	15.1488695	7.9375	0.07259082	11.058107
18	13.84626	14.811156	8.375	0.77653265	69.753586
19	10.662103	18.091803	7.8125	0.05280655	8.859504
20	14.569932	13.556791	8.3125	0.7759508	86.533455
21	11.4822645	14.232219	8.0625	0.12394264	14.556275
22	15.727807	14.425198	8.0625	0.12743399	12.308169
23	11.771733	15.245359	8.0	0.1443088	19.045311
24	12.7366295	13.84626	8.4375	0.7069968	60.55958
25	13.605036	12.591895	8.25	0.20831674	21.696066
26	18.236538	13.315567	8.125	0.07986445	15.262292
27	15.245359	17.078663	8.5	0.30927473	39.574413
28	10.03492	13.894505	8.625	0.14969128	20.212755
29	17.319885	15.004135	8.625	0.1310708	14.078739
30	12.350671	15.534828	9.1875	0.6098211	69.56701
31	14.907645	16.065521	9.0625	0.34477	65.140015
32	11.385775	16.210255	8.6875	0.12757945	14.912125
33	17.223396	12.977854	8.6875	0.10110345	11.942449
34	13.798015	10.372634	8.75	0.08830186	7.751217
35	16.113766	11.434019	8.875	0.2489036	34.020718
36	16.403234	13.556791	9.0625	0.48995167	65.17392
37	13.74977	16.837439	8.8125	0.15027317	16.580757
38	12.205936	16.740948	8.75	0.13907179	13.414151
39	10.662103	14.811156	8.875	0.299819	26.662027
40	16.54797	12.302426	9.0	0.23071952	54.96791
41	10.662103	13.65328	9.0625	0.10619499	25.431437
42	15.438338	14.955891	9.25	0.7064149	147.77391
43	16.596214	15.100625	9.0	0.122924335	21.343164
44	10.710347	12.447161	8.9375	0.047424063	7.0368114
45	11.578753	13.315567	9.1875	0.3066562	72.04148
46	12.833118	12.881364	9.4375	0.5385395	122.84716
47	15.1488695	13.894505	9.3125	0.5088631	121.93373
48	11.771733	14.135729	9.3125	0.27799812	82.64245
49	14.183973	14.473442	9.625	0.812028	153.72928
50	12.977854	11.675243	9.3125	0.3783742	53.342632
51	15.583073	12.833118	9.4375	0.2667967	59.70313
52	14.087484	13.074343	9.5625	0.8210473	147.73451
53	12.64014	14.5216875	9.4375	0.5954193	122.04658
54	13.990994	15.631318	9.3125	0.26606935	75.84991
55	14.473442	11.048061	9.125	0.08030087	12.788045
56	15.245359	12.061202	9.375	0.26563293	68.61795
57	14.039239	12.109447	9.375	0.32629502	61.401196
58	13.460301	16.113766	9.4375	0.08379221	27.317707
59	11.723488	12.350671	9.4375	0.076955	15.3648405
