Cell id	x	y	z	Boa volume	Mean cell intensity
0	6.1753354	9.841941	1.585875	0.15467119	11.569743
1	7.4779453	10.083165	1.6245549	0.10227385	6.8890457
2	6.754273	8.877045	2.1273932	0.33860207	26.886032
3	7.815659	9.890185	2.3594725	0.25523448	16.44428
4	5.11395	10.806837	2.6302319	0.08480807	9.340751
5	4.824481	9.793696	2.4368324	0.034931563	6.783495
6	5.982356	9.407738	2.9396708	0.68242586	44.250885
7	5.065705	8.8288	2.4368324	0.041503735	7.3448987
8	6.561294	8.153373	2.9396708	0.25739518	21.250578
9	6.32007	10.565613	2.9396708	0.24145992	19.043419
10	3.6183605	8.346352	2.8623111	0.11127683	6.898005
11	3.6183605	9.648962	3.0170305	0.17177685	63.436398
12	2.9429333	9.6972065	2.7462714	0.025118314	12.322574
13	7.236721	11.385775	3.0943904	0.111907035	10.750547
14	7.1884766	9.359492	3.21043	0.44888857	44.393192
15	7.4779453	8.008638	3.17175	0.21697181	17.496084
16	3.280647	10.613857	2.9783506	0.059959844	11.765731
17	4.1490536	7.0919867	3.0170305	0.13270392	22.533056
18	4.824481	10.951571	3.5972288	0.4903923	96.45708
19	4.004319	11.33753	3.1330702	0.15467119	38.12773
20	4.197298	10.13141	3.4038293	0.17879918	65.992966
21	7.767414	9.986675	3.4425092	0.26936916	36.152817
22	4.5832567	12.109447	3.21043	0.1670953	34.186142
23	8.008638	9.166513	3.519869	0.19410424	33.779644
24	9.841941	10.951571	3.21043	0.046095256	8.93359
25	8.153373	10.999816	3.21043	0.033671144	10.946513
26	4.4385223	8.780555	3.519869	0.34571442	91.02746
27	4.4867673	7.719169	3.481189	0.16124336	34.526817
28	6.416559	12.7366295	3.6359086	0.28800532	59.932953
29	4.9692154	9.504227	3.6745884	0.37461397	108.68409
30	5.8376217	8.684066	3.7906282	0.44078588	127.44086
31	5.982356	11.771733	3.7906282	0.3707427	88.94244
32	6.078846	10.2279	4.138747	0.36903214	132.76083
33	5.596398	10.758593	4.0613875	0.36714152	142.91917
34	7.815659	13.267323	3.7906282	0.1278423	11.463994
35	5.4516635	7.236721	3.829308	0.063471004	19.765902
36	7.719169	12.012958	4.177427	0.5493618	98.24112
37	6.561294	9.263003	4.2547865	0.38748825	147.38092
38	6.2235804	8.056883	4.177427	0.32365713	128.02629
39	7.284966	11.048061	4.3321466	0.47427696	151.78903
40	7.4297004	9.890185	4.2934666	0.40450388	145.00497
41	7.767414	8.8288	4.3708262	0.37749493	103.43888
42	8.8288	8.925289	4.216107	0.20310722	37.957596
43	7.4779453	7.4779453	4.177427	0.029259684	7.415392
44	9.455982	10.083165	4.3321466	0.10056328	8.512046
45	8.346352	10.083165	4.448186	0.24344057	90.76782
46	8.491086	7.8639035	4.4095063	0.18267046	53.3404
47	8.8288	10.855082	4.5642257	0.21850231	97.48528
