Cell id	x	y	z	Boa volume	Mean cell intensity
0	15.920791	12.302429	2.3740191	0.03441431	8.48732
1	14.9558935	13.31557	2.7488644	0.51282173	69.2268
2	15.052383	12.157695	2.9154623	0.5201893	75.17558
3	12.640142	13.026101	2.9154623	0.25825274	32.44438
4	13.749773	12.495408	3.165359	0.6996284	68.760345
5	12.495408	12.157695	3.1237097	0.20057243	19.591393
6	16.789198	12.061205	3.540204	0.32048935	17.331911
7	14.859405	11.578756	3.956699	0.600457	41.522694
8	14.135732	13.846263	4.1232967	0.34414312	38.24117
9	14.762915	13.556794	4.0399976	0.15917832	33.650776
10	15.872545	11.048063	3.6651525	0.04255742	8.482913
11	15.534832	13.074346	4.1232967	0.59425277	49.57287
12	13.21908	12.881367	4.2482452	0.5078777	40.473064
13	17.512869	10.662105	4.2065954	0.19776112	25.667404
14	13.21908	11.241043	4.164946	0.20222044	14.334476
15	14.135732	12.398918	4.3731933	0.5834922	81.31641
16	12.157695	12.302429	4.164946	0.030536642	6.4666767
17	16.258505	10.662105	4.581441	0.25708944	31.624489
18	11.819981	11.771736	4.498142	0.0485678	7.8742514
19	15.727811	11.434022	4.872987	0.43807966	79.87669
20	14.61818	10.034923	4.706389	0.14657588	18.36494
21	17.60936	8.9735365	4.706389	0.09131911	19.987164
22	15.004139	11.868225	4.9979353	0.45475364	85.35578
23	16.644463	13.267325	4.789688	0.05787421	11.206027
24	13.846263	10.51737	4.8313375	0.10527871	15.016509
25	15.004139	14.039243	5.122884	0.4577588	71.35381
26	14.087487	15.245363	4.9146366	0.42760995	43.652023
27	14.183977	13.50855	5.122884	0.49042818	76.05933
28	17.850582	9.938433	4.956286	0.2337265	27.821829
29	13.122591	11.819981	5.0395846	0.39600694	38.153637
30	12.543653	12.495408	5.164533	0.31893826	47.053936
31	13.363815	14.280466	5.081234	0.2913099	51.427364
32	11.048063	13.074346	4.9146366	0.020163879	8.024046
33	16.692707	9.070026	5.081234	0.11187075	17.544058
34	17.705849	11.241043	5.164533	0.25825274	40.74863
35	11.675246	14.039243	5.0395846	0.050991345	9.372603
36	18.043562	12.205939	5.2478323	0.24022159	42.607872
37	16.11377	9.793698	5.2894816	0.33726025	74.13033
38	16.547974	16.933931	5.164533	0.04837392	8.569133
39	13.653284	8.828802	5.2894816	0.21559839	25.118444
40	16.162014	16.162014	5.4560795	0.24099712	25.449827
41	14.859405	9.745454	5.6226773	0.42925796	36.08512
42	16.885687	10.71035	5.539378	0.31506062	100.81199
43	13.556794	10.71035	5.872574	0.2980958	122.07173
44	16.982176	13.653284	5.7476254	0.47734106	124.90629
45	13.41206	9.745454	5.539378	0.19194461	29.081503
46	15.438342	10.999819	5.789275	0.5440369	135.28052
47	16.547974	12.061205	5.7476254	0.6417542	115.819
48	17.995317	13.701529	5.4560795	0.09238546	12.458496
49	16.065525	13.605039	5.8309245	0.40415004	127.51526
50	9.986677	13.701529	5.581028	0.07134911	12.311107
51	11.241043	11.578756	5.789275	0.3624651	39.76329
52	14.376956	11.578756	6.0391717	0.55285865	149.94905
53	16.403238	14.907649	5.7476254	0.20532256	33.503113
54	15.341852	15.245363	5.7476254	0.15307099	37.205544
55	10.469126	11.964715	5.6643267	0.076099254	13.680201
56	11.964715	12.302429	6.0391717	0.3736134	60.777588
57	12.833122	11.096309	6.0391717	0.41122678	119.3533
58	13.026101	12.688388	6.0391717	0.43555915	113.674446
59	12.0129595	14.232222	5.9975224	0.36004156	52.27334
60	14.71467	14.232222	5.9975224	0.31932604	55.563065
61	12.833122	14.569936	6.0391717	0.25495672	55.9968
62	14.4252	12.543653	6.16412	0.5102043	149.43489
63	15.197118	13.21908	6.122471	0.48451474	157.23114
64	13.653284	13.749773	6.080821	0.34278592	113.40406
65	11.337532	13.653284	5.872574	0.09393653	7.3962564
66	14.087487	15.052383	5.9975224	0.087635316	14.957879
