Cell id	x	y	z	Boa volume	Mean cell intensity
0	17.454268	15.961468	2.1577435	0.3068491	17.840815
1	15.674391	15.674391	2.817054	1.1781979	103.29446
2	16.765282	15.55956	2.6971793	0.5008773	32.63084
3	13.435192	15.55956	2.8769913	0.6601306	84.80028
4	14.239007	15.387314	3.0568035	0.7314587	74.831604
5	15.100238	17.569098	3.7161138	0.36691487	14.891625
6	13.320361	16.880114	3.5363019	0.08535661	5.9861116
7	17.39685	16.593037	3.8359885	0.24164614	27.671083
8	14.985407	16.707867	3.8959258	0.32818824	34.34288
9	16.42079	16.076298	4.1956124	0.86897767	68.75262
10	15.042822	15.100238	4.075738	0.41887966	49.587627
11	14.239007	16.018883	4.435362	0.95650774	78.67831
12	16.822699	17.224606	4.075738	0.2679249	26.74095
13	15.674391	14.411253	4.135675	0.40761733	30.88481
14	16.650452	13.607438	4.075738	0.1035344	7.606852
15	12.975869	15.272484	4.315487	0.33332545	40.145004
16	14.009346	14.870576	4.495299	0.33332545	57.663143
17	13.492607	19.061897	4.435362	0.06638847	6.5357194
18	14.468669	18.085836	4.794986	0.30111915	55.71605
19	18.372913	20.210203	4.5552363	0.051174447	8.992278
20	13.779684	17.79876	4.9747977	0.40425837	55.66139
21	17.224606	20.612112	4.7350483	0.042678304	12.041663
22	12.459131	16.765282	4.9148602	0.41117385	27.444727
23	14.985407	16.880114	5.274484	0.7174302	67.37126
24	10.6792555	19.00448	4.9148602	0.09760686	13.12145
25	11.712731	19.980543	5.0347347	0.11795809	26.185917
26	16.650452	15.042822	5.3344216	0.5992745	32.864017
27	12.861038	20.612112	4.9747977	0.049791355	8.976193
28	15.674391	15.55956	5.3344216	0.5332812	66.20861
29	13.492607	15.961468	5.3943586	0.53189814	54.00035
30	16.650452	16.707867	5.094672	0.09207449	5.854071
31	18.143251	19.176727	5.1546097	0.047222752	11.682003
32	12.172054	19.40639	5.274484	0.15866055	21.376001
33	15.55956	13.492607	5.2145467	0.100570634	7.8663907
34	16.937529	20.095373	5.274484	0.0608561	12.337658
35	15.674391	20.095373	5.3943586	0.18296348	23.328186
36	14.583499	14.755745	5.3943586	0.1347528	14.900246
37	18.88965	17.569098	5.3943586	0.15905571	19.227247
38	11.310824	16.018883	5.634108	0.3598018	41.4299
39	11.253408	18.02842	5.3943586	0.114401564	14.502587
40	19.061897	16.478207	5.5142336	0.18928619	14.070901
41	12.286885	18.258081	5.634108	0.18059245	32.42108
42	13.033285	18.832235	5.6940455	0.18731034	30.132763
43	11.138578	13.779684	5.634108	0.1230953	11.093057
44	15.846637	19.234142	5.7539825	0.17624559	28.770046
45	11.827562	16.880114	5.81392	0.30072397	49.403297
46	18.143251	18.487743	5.6940455	0.056904405	15.708326
47	14.526084	18.77482	5.8738575	0.32166797	39.317833
48	16.937529	18.659988	5.7539825	0.17426974	14.85026
49	12.401716	12.803623	5.7539825	0.082788005	13.644386
50	15.961468	11.884977	5.8738575	0.06638847	5.8571568
51	18.602573	15.616976	6.0536695	0.35505977	34.50216
52	17.683928	17.16719	5.993732	0.34794673	27.841284
53	13.033285	17.569098	6.0536695	0.47104204	85.93048
54	12.573962	15.904053	6.173544	0.5206358	61.90112
55	15.55956	18.143251	6.173544	0.50048214	68.5314
56	11.827562	14.640915	5.933795	0.12704699	13.821125
57	16.248545	17.224606	6.293419	0.62752914	137.0192
58	14.985407	16.650452	6.533168	0.76030606	148.80936
59	16.765282	12.861038	6.113607	0.11993394	17.294857
60	15.100238	15.387314	6.5931053	0.7938955	144.67087
61	17.454268	15.846637	6.353356	0.34359986	56.364044
62	16.076298	16.19113	6.473231	0.46669516	134.3483
63	15.042822	12.861038	6.293419	0.33194238	23.873
64	12.861038	13.492607	6.173544	0.036750764	12.8870945
65	13.779684	15.100238	6.533168	0.48862708	108.74515
66	13.779684	16.707867	6.4132934	0.45958212	96.967674
67	14.124176	13.8371	6.473231	0.3651366	73.12744
68	16.42079	14.813161	6.5931053	0.39576223	57.980347
69	15.042822	14.296422	6.653043	0.31099838	69.08676
70	12.803623	14.526084	6.473231	0.076465294	20.66666
