Cell id	x	y	z	Boa volume	Mean cell intensity
0	14.280463	11.675243	0.899156	0.060351685	10.749943
1	10.855082	12.350671	1.2964574	0.24023865	17.471302
2	13.65328	12.591895	1.317368	0.54589075	53.416904
3	10.179654	11.33753	1.1709938	0.2582468	20.469639
4	13.556791	11.675243	1.4428316	0.57183224	65.97492
5	12.109447	11.964712	1.6101165	0.6376837	51.29716
6	10.806837	11.289285	1.4010105	0.016596714	12.032257
7	15.969031	11.4822645	2.0283287	0.16012666	18.657833
8	12.64014	10.469123	2.111971	0.304776	28.829308
9	14.425198	10.2279	1.9446862	0.09476188	8.169424
10	15.197115	11.868223	2.111971	0.13574262	18.559841
11	12.447161	13.701526	2.111971	0.21658468	26.00085
12	13.460301	11.33753	2.3838089	0.27323738	47.65024
13	14.232219	12.64014	2.4047194	0.6257107	62.32422
14	11.24104	10.951571	2.2374346	0.06453737	7.3687396
15	11.819978	12.688384	2.3628983	0.22364193	46.174244
16	11.4822645	9.986675	2.321077	0.10084572	10.974319
17	12.54365	11.964712	2.5720043	0.6393385	73.05529
18	14.280463	10.855082	2.321077	0.033096086	5.535283
19	10.951571	12.109447	2.42563	0.28058666	35.891087
20	16.16201	9.648962	2.2792559	0.10323059	10.487867
21	10.2279	11.723488	2.3628983	0.08600115	21.611021
22	13.122588	13.074343	2.3001664	0.23503087	17.865639
23	15.05238	9.6972065	2.5929148	0.26734823	21.491438
24	16.065521	10.276144	2.4465406	0.11651769	12.440981
25	13.942749	10.662103	2.9483953	0.2080673	70.50971
26	14.473442	11.096306	2.843842	0.2585875	74.772446
27	15.245359	10.469123	2.7183785	0.06517009	27.05219
28	16.35499	7.9121485	2.634736	0.10931443	12.405496
29	13.026098	9.214758	2.7601998	0.18149309	19.968336
30	12.205936	10.083165	2.906574	0.17550659	19.018229
31	10.469123	12.061202	2.9483953	0.16324158	51.65737
32	12.495405	13.219077	3.11568	0.5763586	70.228264
33	13.460301	11.530509	3.0529482	0.45881882	91.36796
34	12.7366295	14.907645	2.9693058	0.17540926	27.720194
35	17.030416	9.311248	2.9483953	0.12605715	24.70551
36	13.84626	13.556791	2.9902163	0.4733227	60.656193
37	11.096306	11.24104	2.9483953	0.2677376	36.45812
38	10.951571	12.495405	3.1784117	0.1808117	52.731087
39	11.626999	15.438338	2.9483953	0.23483619	35.7565
40	15.341849	8.298107	2.8856633	0.10264654	9.762357
41	9.504227	13.894505	2.9483953	0.067992985	10.145964
42	11.530509	14.039239	3.11568	0.25649467	34.037777
43	11.819978	7.767414	3.0738587	0.09992097	21.36412
44	17.512865	11.868223	3.0529482	0.14810498	26.031277
45	16.065521	9.359492	3.0738587	0.11875654	23.555088
46	11.723488	11.675243	3.1575012	0.12975612	30.016348
47	16.933928	10.517368	3.0738587	0.14927308	34.87491
48	12.591895	7.9603934	3.1575012	0.09792548	21.477924
49	15.438338	10.13141	3.387518	0.29231632	98.79468
50	14.762911	9.359492	3.324786	0.35670766	66.97067
51	10.3243885	13.942749	3.0738587	0.019419614	6.5864673
52	15.341849	16.16201	3.2411437	0.11218599	19.251001
53	13.508546	8.973535	3.3456967	0.21673068	38.27872
54	14.5216875	16.596214	3.324786	0.13540192	24.172722
55	11.819978	9.021779	3.3666072	0.23069918	24.775711
56	11.916468	10.2279	3.5757132	0.300493	120.81256
57	16.16201	10.806837	3.429339	0.13048619	36.675655
58	15.486584	11.385775	3.5548027	0.3294034	111.225044
59	16.596214	12.109447	3.3666072	0.11943793	31.562262
60	12.929608	9.455982	3.5129814	0.17511722	43.68659
61	15.824297	12.784874	3.5548027	0.24340224	115.195915
62	15.534828	13.894505	3.5757132	0.26934373	110.89874
63	16.982172	14.087484	3.3666072	0.043754973	9.666289
64	13.798015	10.179654	3.5338922	0.30059034	139.51479
65	11.14455	10.517368	3.6593556	0.42689082	111.49583
66	9.311248	11.33753	3.5338922	0.19108123	39.27584
67	9.890185	10.903327	3.5757132	0.14693688	38.31576
68	9.841941	12.398915	3.492071	0.21965094	48.10159
69	14.618176	13.412057	3.596624	0.40513504	122.39155
70	7.52619	13.990994	3.3456967	0.027547624	8.802118
71	13.942749	15.390094	3.5338922	0.15258269	33.328514
72	14.714666	12.012958	3.596624	0.32127538	110.71095
73	14.907645	14.907645	3.5129814	0.21950492	30.00533
74	13.74977	10.999816	3.6802664	0.27863982	137.70557
75	12.881364	10.613857	3.6593556	0.2958206	146.77417
76	12.833118	12.157692	3.8266406	0.5552842	151.24658
77	13.315567	13.074343	3.847551	0.52325886	159.29132
78	17.126907	13.074343	3.4502497	0.03664905	10.557772
79	12.254181	11.434019	3.8266406	0.2594149	142.69853
80	10.951571	12.350671	3.701177	0.47093782	107.669464
81	8.153373	13.315567	3.5757132	0.058502197	16.09226
82	13.556791	14.328708	3.7220874	0.200426	61.189697
83	10.372634	11.578753	3.6593556	0.15117124	63.73275
84	11.675243	13.556791	3.7429981	0.38503402	105.75489
85	8.973535	14.280463	3.6384451	0.049644127	9.652925
86	9.021779	13.026098	3.6175344	0.057626124	8.548114
87	12.688384	14.039239	3.7639086	0.1419238	52.597607
88	9.793696	14.569932	3.7639086	0.19940391	49.92069
89	11.048061	15.100625	3.7429981	0.14917573	51.898647
90	10.276144	13.556791	3.847551	0.18300189	52.844246
91	12.64014	15.100625	3.7639086	0.0905762	10.541548
92	11.048061	14.135729	3.9102829	0.1394416	54.033337
