seqname	source	feature	start	end	score	strand	frame	gene_id	transcript_id
Y	Ensembl	similarity	2786962	2787603	880	-	.		
Y	Ensembl	similarity	2786992	2787573	880	-	.		
Y	Ensembl	similarity	2786992	2787573	1050	-	.		
Y	Ensembl	similarity	2786992	2787573	1055	-	.		
Y	Ensembl	similarity	2786992	2787573	1052	-	.		
Y	Ensembl	similarity	2786992	2787573	1056	-	.		
Y	Ensembl	similarity	2786992	2787573	1050	-	.		
Y	Ensembl	similarity	2786992	2787573	1052	-	.		
Y	Ensembl	similarity	2786992	2787573	1051	-	.		
Y	Ensembl	similarity	2786992	2787573	1052	-	.		
Y	Ensembl	similarity	2786992	2787573	1052	-	.		
Y	Ensembl	similarity	2786992	2787573	1056	-	.		
Y	Ensembl	similarity	2786992	2787603	1094	-	.		
Y	Ensembl	similarity	2786992	2787603	1073	-	.		
Y	Ensembl	similarity	2786992	2787603	1047	-	.		
Y	Ensembl	similarity	2786992	2787603	1022	-	.		
Y	Ensembl	similarity	2786992	2787603	996	-	.		
Y	Ensembl	similarity	2786992	2787603	994	-	.		
Y	Ensembl	similarity	2786992	2787603	100	-	.		
Y	Ensembl	similarity	2786992	2787603	100	-	.		
Y	Ensembl	similarity	2786992	2787603	100	-	.		
Y	Ensembl	similarity	2787010	2787603	1057	-	.		
Y	Ensembl	similarity	2786855	2787699	845	+	.		
Y	Ensembl	similarity	2786989	2787603	100	-	.		
Y	Ensembl	similarity	2786992	2787051	110	-	.		
Y	Ensembl	similarity	2786992	2787321	608	-	.		
Y	Ensembl	similarity	2786992	2787456	307	-	.		
Y	Ensembl	similarity	2786992	2787456	307	-	.		
Y	Ensembl	similarity	2786992	2787513	505	-	.		
Y	Ensembl	similarity	2786992	2787570	1044	-	.		
Y	Ensembl	similarity	2786992	2787573	1009	-	.		
Y	Ensembl	similarity	2786992	2787573	1056	-	.		
Y	Ensembl	similarity	2786992	2787573	956	-	.		
Y	Ensembl	similarity	2786992	2787573	1056	-	.		
Y	Ensembl	similarity	2786992	2787573	1056	-	.		
Y	Ensembl	similarity	2786992	2787573	935	-	.		
Y	Ensembl	similarity	2786992	2787573	736	-	.		
Y	Ensembl	similarity	2786992	2787573	523	-	.		
Y	Ensembl	similarity	2786992	2787573	956	-	.		
Y	Ensembl	similarity	2786992	2787573	1056	-	.		
Y	Ensembl	similarity	2786992	2787573	538	-	.		
Y	Ensembl	similarity	2786995	2787063	54	-	.		
Y	Ensembl	similarity	2787004	2787489	304	-	.		
Y	Ensembl	similarity	2787004	2787489	307	-	.		
Y	Ensembl	similarity	2787007	2787573	548	-	.		
Y	Ensembl	similarity	2787010	2787444	348	-	.		
Y	Ensembl	similarity	2787010	2787447	348	-	.		
Y	Ensembl	similarity	2787010	2787456	356	-	.		
Y	Ensembl	similarity	2787010	2787456	358	-	.		
Y	Ensembl	similarity	2787010	2787456	371	-	.		
Y	Ensembl	similarity	2787010	2787459	369	-	.		
Y	Ensembl	similarity	2787013	2787438	348	-	.		
Y	Ensembl	similarity	2787100	2787573	264	-	.		
Y	Ensembl	similarity	2787112	2787534	748	-	.		
Y	Ensembl	similarity	2787112	2787535	422	+	.		
Y	Ensembl	similarity	2787115	2787480	328	-	.		
Y	Ensembl	similarity	2787115	2787570	262	-	.		
Y	Ensembl	similarity	2787115	2787570	259	-	.		
Y	Ensembl	similarity	2787142	2787549	282	-	.		
Y	Ensembl	similarity	2787142	2787549	285	-	.		
Y	Ensembl	similarity	2787142	2787549	285	-	.		
Y	Ensembl	similarity	2787151	2787438	284	+	.		
Y	Ensembl	similarity	2787151	2787438	100	-	.		
Y	Ensembl	similarity	2787154	2787573	277	-	.		
Y	Ensembl	similarity	2787157	2787573	447	-	.		
Y	Ensembl	similarity	2787157	2787573	447	-	.		
Y	Ensembl	similarity	2787163	2787573	286	-	.		
Y	Ensembl	similarity	2787163	2787573	286	-	.		
Y	Ensembl	similarity	2787166	2787459	339	-	.		
Y	Ensembl	similarity	2787166	2787462	332	-	.		
Y	Ensembl	similarity	2787166	2787540	317	-	.		
Y	Ensembl	similarity	2787175	2787426	248	-	.		
Y	Ensembl	similarity	2787175	2787573	278	-	.		
Y	Ensembl	similarity	2787181	2787555	287	-	.		
Y	Ensembl	similarity	2787181	2787567	243	-	.		
Y	Ensembl	similarity	2787184	2787462	333	-	.		
